Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced
3,43,Yes,7,7
2,78,Yes,8,4
2,63,No,7,8
1,93,No,6,2
8,73,Yes,6,5
3,78,No,5,3
3,80,No,7,7
6,44,Yes,4,0
8,54,No,5,3
9,89,No,7,6
9,43,Yes,9,8
4,90,No,8,0
5,91,Yes,7,7
2,97,No,8,1
9,78,Yes,8,3
8,97,No,6,3
3,47,Yes,4,7
9,88,No,7,1
3,84,No,4,6
9,63,No,8,2
2,92,Yes,6,8
9,67,No,4,4
8,94,Yes,5,7
9,82,No,8,4
5,66,No,5,0
2,40,No,9,8
8,73,No,4,9
6,56,No,4,6
8,76,No,4,3
5,77,Yes,9,6
2,65,Yes,7,4
6,96,No,8,9
5,63,No,8,8
5,78,No,8,1
1,99,No,7,3
2,60,No,4,5
8,69,Yes,4,4
3,86,No,9,0
3,90,No,5,8
8,87,Yes,7,8
8,96,Yes,6,2
2,52,Yes,7,3
8,76,No,9,3
1,42,No,5,9
6,71,No,5,7
8,74,No,5,5
3,58,No,4,1
8,53,Yes,6,3
1,87,No,5,0
9,61,No,8,2
9,56,No,4,3
5,98,Yes,6,7
4,43,No,8,2
6,84,No,6,4
7,79,No,9,0
5,58,No,6,3
9,76,Yes,8,1
3,41,Yes,7,3
7,54,Yes,6,4
5,41,No,7,2
7,50,Yes,6,5
2,84,Yes,9,1
4,62,No,8,4
2,49,No,6,3
7,42,Yes,5,4
2,44,Yes,9,8
1,42,Yes,5,5
9,77,Yes,9,6
1,52,No,9,7
8,81,No,6,8
2,58,Yes,8,4
8,79,Yes,8,7
3,89,Yes,4,1
6,74,No,8,9
3,63,No,7,8
7,63,No,6,1
9,56,Yes,5,4
2,79,No,8,5
5,49,Yes,5,3
6,41,Yes,4,7
4,83,No,6,9
4,62,Yes,8,2
4,45,No,5,4
2,41,No,9,1
4,60,Yes,8,2
1,94,Yes,4,7
6,95,No,9,4
1,74,No,5,2
6,88,No,5,4
1,68,No,6,8
6,46,No,6,2
8,68,No,5,9
2,92,No,9,6
2,76,Yes,6,7
4,62,No,5,4
3,72,Yes,9,2
4,47,Yes,7,5
7,51,No,8,2
1,85,No,7,8
6,87,No,7,1
3,49,No,8,2
7,54,No,5,6
2,92,Yes,5,9
2,63,Yes,6,7
4,65,No,4,4
1,86,No,5,4
3,81,No,8,4
9,92,No,4,3
7,99,Yes,8,8
7,78,Yes,8,5
4,97,Yes,8,7
2,42,No,4,7
4,41,No,7,4
6,45,No,9,8
3,60,Yes,8,1
1,48,Yes,6,7
8,49,Yes,5,2
5,75,No,9,6
5,98,Yes,5,8
4,42,No,5,4
6,80,Yes,4,7
3,63,No,6,3
9,61,No,6,0
5,88,No,9,0
3,53,No,6,5
1,81,Yes,6,7
6,84,Yes,6,9
2,83,Yes,9,1
3,66,No,7,3
1,72,Yes,6,2
9,99,No,6,8
8,61,Yes,4,2
2,68,Yes,4,7
8,58,No,6,6
9,58,No,7,0
1,45,No,6,7
5,84,Yes,6,8
8,58,No,6,7
2,52,Yes,8,9
4,98,Yes,7,9
7,65,Yes,5,0
3,61,No,6,6
5,60,Yes,5,8
8,75,No,7,4
3,95,No,6,1
4,41,Yes,5,7
9,86,Yes,9,8
7,83,Yes,5,6
1,69,Yes,7,4
4,66,No,6,7
4,46,No,8,5
9,59,No,7,3
6,89,No,8,0
9,70,No,6,5
6,62,No,5,7
6,52,No,9,2
5,56,No,9,6
5,43,No,7,6
2,96,Yes,7,8
8,53,Yes,7,0
8,59,No,4,4
1,99,No,9,7
8,52,Yes,9,2
5,42,Yes,6,4
2,65,Yes,4,0
2,65,No,7,8
6,57,Yes,7,3
9,71,Yes,8,4
1,53,Yes,4,2
6,86,Yes,5,1
9,42,Yes,9,6
8,40,No,6,4
6,65,Yes,5,9
3,63,No,5,2
8,88,Yes,6,1
9,74,Yes,7,9
1,53,Yes,9,5
9,42,Yes,8,9
6,52,Yes,7,5
6,86,No,7,2
4,89,No,4,8
1,53,No,5,0
8,60,No,5,2
2,65,No,9,0
1,42,No,5,6
2,90,No,8,1
1,79,Yes,8,3
1,43,No,8,3
9,75,Yes,6,7
1,90,Yes,9,3
4,82,No,8,2
6,40,Yes,4,9
7,79,Yes,4,2
2,86,No,7,4
6,72,Yes,7,5
7,46,No,9,6
2,92,Yes,7,4
2,91,No,7,6
7,91,Yes,4,3
1,95,No,7,4
8,50,Yes,4,5
3,66,No,8,8
6,53,Yes,8,5
9,61,Yes,9,9
6,55,No,6,0
9,85,Yes,7,6
7,51,No,8,2
9,88,Yes,8,5
2,85,Yes,9,1
8,49,No,5,6
8,63,Yes,5,0
2,85,No,9,1
4,57,Yes,4,8
7,61,Yes,6,8
4,48,Yes,9,6
4,56,Yes,5,1
6,77,No,6,4
6,79,No,8,3
3,97,Yes,9,1
9,52,Yes,4,1
2,89,No,6,9
6,76,Yes,5,7
7,45,No,8,4
9,60,Yes,9,7
3,90,Yes,7,1
3,75,No,8,1
7,46,Yes,5,2
4,75,No,9,9
8,64,No,5,7
7,50,No,7,7
5,83,No,8,2
7,53,No,6,0
3,84,No,6,6
2,68,Yes,8,3
6,49,No,6,2
2,89,No,9,4
3,87,Yes,8,5
6,44,No,8,0
5,47,Yes,5,8
8,85,No,4,5
9,44,No,5,2
3,97,No,6,0
3,99,Yes,4,8
3,63,Yes,8,1
6,79,No,6,9
1,96,No,7,5
7,65,Yes,6,5
1,45,Yes,4,2
5,55,Yes,4,5
8,99,No,8,1
4,75,Yes,9,7
5,51,Yes,7,0
4,50,Yes,8,5
4,42,Yes,7,0
8,83,Yes,7,8
2,76,Yes,8,8
1,45,Yes,6,5
3,58,No,5,5
9,57,Yes,7,8
4,55,No,4,4
5,62,No,8,8
2,82,Yes,9,4
4,76,No,6,3
2,48,No,7,1
2,42,Yes,9,1
4,47,No,6,0
6,77,Yes,8,9
7,43,Yes,9,2
3,51,Yes,4,0
3,83,Yes,7,5
6,70,Yes,7,6
3,64,Yes,9,8
2,92,Yes,6,6
8,55,No,8,3
5,81,Yes,5,3
1,93,No,7,7
3,53,Yes,4,3
8,52,Yes,7,0
4,80,Yes,7,8
7,46,No,5,2
2,51,No,5,0
7,76,No,8,8
5,89,No,7,9
5,43,No,7,9
6,41,No,6,4
9,74,Yes,6,8
6,97,Yes,9,2
8,83,No,9,5
7,42,No,4,6
9,43,No,4,4
4,77,No,6,7
2,51,No,9,9
7,58,Yes,4,5
6,49,Yes,7,5
1,40,Yes,9,6
9,56,Yes,5,7
9,55,Yes,9,1
2,48,Yes,7,6
3,96,Yes,6,8
5,92,Yes,8,0
5,48,No,8,0
1,98,No,6,6
8,94,Yes,7,4
8,48,Yes,4,0
4,51,Yes,9,0
7,94,No,9,1
3,80,No,4,9
6,54,Yes,8,8
9,41,No,6,2
1,50,Yes,6,8
5,50,Yes,5,5
4,47,Yes,8,9
8,94,Yes,6,5
1,71,Yes,5,6
9,45,No,4,9
6,92,Yes,8,7
4,59,Yes,8,2
9,78,Yes,6,7
5,74,Yes,6,5
5,47,No,7,5
5,89,Yes,4,2
1,88,Yes,4,5
1,82,No,9,7
8,73,Yes,5,6
8,96,Yes,5,9
6,92,Yes,7,9
4,98,Yes,9,6
2,95,No,4,2
2,58,Yes,5,9
9,46,Yes,4,2
5,70,No,4,4
4,57,Yes,9,4
1,79,Yes,5,8
7,53,No,6,8
3,78,Yes,6,9
6,99,No,9,4
5,92,Yes,5,4
5,99,No,7,5
5,98,Yes,8,7
1,75,Yes,9,5
1,56,No,4,5
3,76,Yes,9,8
4,83,No,8,0
5,48,No,9,3
2,97,No,5,9
8,59,No,4,9
2,84,Yes,8,1
9,96,No,6,8
2,67,Yes,7,2
9,89,Yes,9,9
7,59,No,9,1
8,80,No,8,7
2,75,Yes,7,3
7,92,No,9,1
6,66,Yes,6,3
4,47,No,8,6
7,71,Yes,5,6
4,40,Yes,4,0
2,56,No,6,0
7,96,Yes,7,2
8,48,Yes,7,1
2,59,No,6,2
5,84,No,5,3
1,71,No,9,6
7,41,No,5,1
8,71,No,9,6
6,84,Yes,9,4
5,48,Yes,7,7
6,69,No,9,7
2,59,Yes,6,4
1,77,Yes,9,9
7,99,Yes,6,7
7,40,Yes,4,8
2,99,Yes,7,6
2,96,No,5,5
1,44,No,8,6
8,74,Yes,5,6
8,75,Yes,5,2
1,40,No,8,5
8,53,No,7,5
9,48,No,9,8
4,69,No,4,0
1,63,Yes,5,6
1,43,No,9,0
3,89,No,5,9
5,53,Yes,7,3
5,64,No,7,6
9,43,No,6,5
2,64,No,7,5
2,49,No,7,4
6,74,No,5,6
9,94,Yes,4,8
1,46,Yes,5,5
9,81,Yes,9,9
9,52,Yes,7,6
9,43,Yes,6,8
5,89,No,4,6
9,82,No,6,5
4,96,No,8,2
2,75,No,6,0
6,95,No,6,9
4,53,No,9,8
6,57,No,7,6
3,47,No,9,2
6,71,No,7,9
2,66,No,9,8
2,81,No,7,2
9,76,No,7,2
7,62,No,7,6
3,46,Yes,6,1
1,51,No,8,9
8,64,Yes,7,6
6,42,No,8,6
7,65,No,8,0
9,43,No,5,9
5,81,Yes,5,1
1,75,Yes,4,4
7,54,No,9,3
5,71,No,5,2
3,68,No,7,9
9,49,No,8,7
1,60,Yes,9,6
1,93,Yes,4,8
1,55,No,5,2
3,86,Yes,6,9
6,58,Yes,9,0
3,68,No,4,8
8,91,No,7,8
2,90,No,9,0
9,57,Yes,8,7
3,97,No,7,9
5,83,Yes,7,0
8,96,No,9,5
2,55,No,6,8
6,40,Yes,6,2
5,87,Yes,9,5
9,41,Yes,9,2
5,95,Yes,9,4
2,54,Yes,8,6
5,78,Yes,5,9
4,67,No,7,3
7,40,Yes,9,3
6,44,Yes,5,6
2,81,No,8,4
5,61,Yes,7,0
7,92,Yes,5,9
7,75,No,7,1
5,85,No,6,5
9,52,No,9,8
4,40,Yes,6,6
3,55,No,4,3
4,94,Yes,8,1
5,80,No,9,3
6,61,Yes,5,4
3,71,No,7,1
2,55,No,4,0
4,90,No,8,3
5,54,Yes,8,5
4,97,Yes,8,0
3,85,No,5,0
8,91,No,9,8
4,81,No,6,4
2,92,No,4,1
2,51,Yes,5,1
1,99,No,7,3
4,40,No,5,1
9,92,Yes,7,3
7,56,Yes,7,5
7,80,No,8,6
7,94,No,5,5
8,90,Yes,6,3
1,96,Yes,7,9
8,89,No,8,2
4,67,Yes,6,3
4,46,Yes,5,4
4,48,No,6,3
6,61,No,5,2
7,65,Yes,7,0
6,92,No,4,2
1,51,No,4,4
8,46,No,9,5
7,85,No,9,3
6,86,No,7,0
6,54,Yes,6,9
5,77,Yes,5,6
6,60,No,4,8
9,53,No,5,5
9,41,No,7,5
8,47,Yes,6,8
9,84,Yes,5,3
8,94,Yes,6,4
8,45,Yes,4,4
1,76,No,5,4
5,76,No,8,7
4,96,Yes,4,0
2,72,Yes,6,9
8,80,No,7,9
3,45,No,8,2
4,91,No,9,7
7,65,No,5,8
9,78,No,9,1
2,80,Yes,4,3
3,76,No,5,7
4,53,Yes,5,4
1,76,Yes,8,0
7,47,No,8,5
2,78,Yes,8,8
5,52,Yes,8,8
1,52,No,7,0
3,79,Yes,6,3
2,82,No,8,0
1,67,No,4,6
7,97,Yes,5,2
5,57,No,9,1
1,96,No,8,7
6,58,Yes,4,8
5,77,No,7,6
3,71,Yes,4,5
7,61,Yes,9,9
9,41,No,9,5
9,99,Yes,4,8
9,52,No,7,4
2,62,Yes,9,4
3,64,No,7,1
7,67,No,5,5
5,97,Yes,8,5
2,50,Yes,9,5
3,72,No,4,3
6,63,No,6,6
7,41,Yes,6,8
9,69,No,5,0
1,56,No,6,2
7,79,Yes,5,9
8,73,Yes,8,8
3,77,No,5,4
4,61,Yes,7,5
6,44,Yes,7,7
7,87,No,7,8
4,79,Yes,9,7
8,90,Yes,7,2
5,55,No,7,9
1,52,Yes,7,0
4,65,No,7,4
3,70,Yes,9,6
9,91,Yes,7,1
8,78,No,7,0
1,87,Yes,8,3
6,62,Yes,9,2
9,87,Yes,7,3
7,51,Yes,5,0
4,53,Yes,8,1
1,95,Yes,9,0
2,57,No,6,2
5,66,Yes,4,3
5,67,Yes,9,0
8,57,No,8,5
6,55,No,7,1
8,91,No,8,9
2,55,Yes,4,4
3,52,No,4,7
6,97,No,9,3
3,68,Yes,7,4
6,48,No,7,8
6,65,Yes,5,1
2,67,Yes,4,1
7,80,Yes,7,5
2,52,Yes,4,5
6,75,Yes,5,2
1,48,No,6,8
3,86,Yes,4,0
2,53,No,5,2
7,90,Yes,5,7
4,51,No,5,7
8,92,Yes,8,3
6,97,Yes,9,7
4,96,Yes,7,9
5,71,No,4,7
9,77,No,9,0
7,42,No,8,2
9,97,Yes,4,0
7,96,Yes,9,1
1,93,No,8,3
8,91,Yes,7,2
4,55,No,5,5
3,59,Yes,9,4
7,71,No,9,4
3,95,No,4,9
8,62,Yes,5,6
6,56,No,7,6
5,55,Yes,4,8
4,77,Yes,6,7
8,47,Yes,6,2
8,58,No,6,1
1,69,No,7,0
9,96,No,6,9
5,97,Yes,9,5
4,73,Yes,4,3
6,53,No,9,2
6,61,Yes,6,1
2,83,Yes,4,1
8,56,No,9,3
7,99,No,7,0
1,98,Yes,5,5
5,54,Yes,9,9
6,89,No,8,4
4,87,No,6,9
2,71,Yes,8,8
4,52,Yes,5,1
1,60,Yes,7,8
7,88,No,9,8
2,79,Yes,7,9
2,72,Yes,5,8
9,96,Yes,8,9
5,97,Yes,9,9
2,66,Yes,6,3
9,74,Yes,4,4
9,55,No,7,7
1,67,No,5,7
3,73,No,9,0
4,86,Yes,8,9
7,40,No,6,0
4,80,Yes,8,9
2,87,Yes,6,5
7,70,Yes,9,6
6,75,Yes,4,1
3,83,Yes,4,1
6,72,No,5,4
6,72,No,5,8
5,78,No,6,4
4,57,Yes,6,7
1,62,No,6,7
6,99,Yes,6,4
2,62,No,9,7
3,54,No,9,7
8,65,No,4,4
6,69,No,5,4
3,64,No,5,3
7,84,No,7,0
4,55,Yes,5,8
9,78,Yes,5,1
5,87,Yes,8,0
3,84,Yes,8,5
2,53,Yes,7,4
2,56,No,6,0
3,51,Yes,7,6
2,68,Yes,7,6
4,71,Yes,4,2
2,95,Yes,9,7
9,63,Yes,5,5
2,91,Yes,4,3
9,52,Yes,9,9
6,95,Yes,5,9
1,59,Yes,7,9
4,54,No,5,2
1,95,Yes,6,0
6,92,Yes,6,1
4,43,No,7,1
3,93,No,8,4
3,73,Yes,6,3
9,67,Yes,7,1
6,89,Yes,4,8
9,41,No,8,6
5,96,Yes,6,7
2,86,No,7,7
8,69,No,7,1
5,65,No,4,4
2,90,No,4,2
4,86,No,8,9
9,65,Yes,9,8
4,59,Yes,6,8
4,81,No,7,5
2,67,No,8,3
6,95,No,8,7
2,59,No,4,4
7,50,Yes,7,2
3,97,No,5,7
3,49,No,9,5
5,62,Yes,9,4
3,76,Yes,4,0
2,80,Yes,7,2
9,91,Yes,8,6
2,58,No,9,2
2,84,No,8,0
8,57,No,6,7
9,88,No,5,6
7,66,No,4,4
3,45,No,9,9
9,49,No,6,4
3,41,No,6,5
5,63,No,5,6
9,77,Yes,4,2
3,67,No,4,3
7,67,Yes,8,0
1,92,Yes,4,6
4,84,Yes,6,9
4,89,Yes,8,1
7,78,No,4,6
8,41,Yes,5,5
1,85,Yes,6,3
5,44,No,7,1
7,89,Yes,5,6
4,50,No,5,6
4,49,No,4,4
4,82,No,8,8
6,98,No,8,2
7,41,Yes,6,8
2,54,No,4,4
5,78,Yes,8,1
4,80,Yes,9,8
3,76,No,7,0
7,46,Yes,9,0
6,59,No,4,6
7,73,Yes,4,2
5,74,Yes,8,7
6,73,Yes,5,6
5,92,Yes,4,6
7,61,No,5,0
2,70,No,6,0
5,62,Yes,6,1
6,58,Yes,8,1
6,43,Yes,6,4
5,63,Yes,9,8
7,59,No,9,6
8,78,Yes,9,1
7,67,Yes,8,4
5,93,Yes,8,4
1,78,No,9,7
5,56,Yes,5,8
2,58,No,9,7
5,93,No,5,1
5,87,Yes,6,3
2,74,Yes,5,1
5,71,Yes,4,5
4,86,No,7,3
1,85,No,4,6
3,86,Yes,4,1
1,85,No,8,8
5,78,Yes,7,4
4,96,Yes,8,0
7,74,Yes,5,2
5,69,Yes,9,3
4,56,Yes,5,2
2,81,Yes,7,5
4,86,No,6,5
2,68,No,5,9
8,45,No,4,6
3,99,Yes,7,8
9,56,Yes,7,9
4,56,Yes,5,8
6,53,No,5,6
5,63,Yes,8,0
1,96,No,8,2
9,89,Yes,4,4
1,96,No,7,9
8,76,Yes,6,5
9,79,Yes,6,5
9,78,No,7,4
1,94,No,4,5
2,71,No,8,8
1,75,Yes,8,0
2,89,No,8,0
8,76,No,6,8
5,87,Yes,6,7
7,53,Yes,4,8
2,66,No,6,6
8,98,Yes,5,9
6,58,No,6,5
8,70,No,8,8
1,85,No,4,1
1,48,Yes,7,3
7,77,No,7,1
8,56,No,4,5
3,58,Yes,5,0
5,83,No,7,6
1,43,No,8,6
7,87,No,7,6
5,96,Yes,7,3
8,50,No,8,7
8,61,Yes,6,4
9,43,Yes,5,1
7,56,No,8,4
1,47,No,8,9
3,85,Yes,9,8
8,98,No,4,9
3,73,No,5,0
8,50,Yes,6,1
1,70,No,9,9
5,50,No,8,7
4,95,Yes,9,4
5,93,No,6,8
8,95,Yes,9,5
4,77,Yes,9,7
4,92,No,9,0
3,60,Yes,8,8
7,85,No,8,8
3,69,No,4,2
3,49,Yes,7,0
5,65,Yes,5,7
5,66,Yes,4,7
6,47,Yes,6,8
8,78,Yes,9,5
6,47,Yes,8,8
1,99,No,9,9
8,47,No,8,8
8,94,Yes,5,3
9,73,No,4,4
9,98,Yes,4,5
2,55,Yes,6,5
2,80,No,4,9
3,52,No,4,1
1,62,Yes,7,3
4,51,Yes,5,8
4,66,Yes,9,6
9,61,No,4,8
9,71,Yes,6,5
9,96,Yes,9,6
7,88,No,8,8
2,66,No,4,3
5,41,No,4,8
4,84,Yes,9,2
8,72,Yes,8,7
2,65,No,7,2
6,67,Yes,5,2
5,58,Yes,7,2
2,82,No,6,8
1,44,No,9,9
8,72,Yes,4,2
2,59,No,7,5
7,69,No,5,3
9,84,Yes,6,1
9,47,Yes,7,2
8,77,Yes,4,4
9,56,Yes,5,9
2,83,Yes,4,3
6,40,Yes,4,4
4,42,No,6,0
4,85,No,5,3
5,65,No,8,9
3,70,Yes,4,2
1,47,Yes,5,1
8,82,Yes,4,6
5,98,Yes,7,9
3,85,Yes,7,8
7,47,No,5,0
7,74,Yes,6,6
1,78,No,8,0
9,67,Yes,7,4
2,90,No,6,0
5,43,No,8,2
5,96,No,7,7
8,55,No,8,3
8,52,No,9,0
7,59,No,4,0
7,90,No,5,7
6,44,Yes,7,7
6,94,Yes,7,3
9,76,No,4,3
6,59,Yes,7,9
2,63,Yes,7,1
2,75,No,9,1
5,73,Yes,7,5
4,97,No,7,7
2,84,Yes,7,6
3,87,No,6,6
7,93,Yes,7,2
8,73,No,4,1
6,58,Yes,9,9
5,56,Yes,7,6
1,44,Yes,8,3
8,64,No,9,0
3,57,No,9,0
6,99,Yes,8,3
3,94,Yes,4,4
7,92,No,6,4
7,89,Yes,4,0
9,47,Yes,6,2
5,66,No,5,5
8,54,No,8,9
8,84,Yes,9,6
1,52,No,9,0
5,55,Yes,9,7
3,61,Yes,8,3
1,59,No,8,8
4,52,Yes,6,5
8,59,No,9,0
3,41,No,4,1
2,74,Yes,6,2
9,86,No,9,1
5,94,Yes,8,9
7,58,No,8,6
2,84,Yes,8,0
9,76,No,9,8
9,97,Yes,8,1
4,93,Yes,5,3
4,45,No,8,7
6,53,Yes,9,2
6,43,Yes,6,8
1,61,Yes,8,6
9,90,Yes,7,9
2,94,Yes,5,2
5,78,Yes,9,2
9,75,No,8,4
4,73,No,7,4
3,66,No,9,9
7,46,No,6,4
6,42,Yes,5,8
8,86,Yes,8,8
3,72,No,6,5
5,41,Yes,9,6
4,81,No,7,9
4,55,Yes,9,7
4,64,Yes,9,8
8,99,No,5,5
6,54,Yes,8,7
3,63,No,6,1
5,54,No,5,9
6,70,No,7,7
5,53,Yes,8,1
6,93,Yes,5,7
8,53,No,7,1
7,45,Yes,7,2
5,53,No,6,6
6,56,No,9,8
4,57,Yes,7,2
9,59,No,7,4
4,90,Yes,9,8
1,56,Yes,4,6
7,55,Yes,7,1
7,79,No,8,4
4,78,No,5,4
3,91,Yes,9,8
8,71,Yes,9,1
5,99,No,9,0
7,83,Yes,8,3
4,48,Yes,9,3
4,66,No,8,0
8,85,No,6,9
8,91,No,4,6
2,72,Yes,9,1
2,49,No,4,8
3,56,No,9,6
3,88,No,8,6
1,88,No,5,0
3,75,No,4,8
6,56,No,4,9
8,57,No,8,8
6,91,Yes,4,1
5,62,No,6,9
4,73,Yes,8,8
3,47,Yes,4,1
4,52,No,4,1
7,62,Yes,4,7
1,96,No,8,2
7,93,Yes,5,2
1,59,No,7,6
2,61,Yes,9,9
4,86,No,4,5
1,91,No,7,6
9,62,Yes,7,5
6,80,Yes,4,8
1,74,No,4,1
1,42,Yes,9,7
6,73,No,7,5
4,72,Yes,5,3
4,85,No,7,5
6,56,Yes,5,5
7,84,No,6,9
9,58,Yes,5,2
5,69,No,9,7
9,62,Yes,8,4
4,54,No,4,9
2,98,Yes,6,3
3,96,Yes,7,1
1,53,No,5,9
6,41,Yes,6,0
6,78,Yes,8,6
1,88,No,5,9
3,57,No,9,2
5,45,No,7,2
3,98,No,7,2
3,71,Yes,5,9
3,60,Yes,8,2
5,79,Yes,4,1
5,67,No,4,5
4,66,Yes,7,9
1,41,Yes,8,2
5,72,No,7,0
5,55,Yes,4,9
4,78,Yes,7,8
6,61,No,5,5
4,95,Yes,9,5
7,82,No,5,9
7,86,No,9,8
2,52,Yes,8,1
3,95,Yes,4,9
1,41,Yes,8,8
8,53,No,8,2
9,95,No,4,2
4,77,Yes,6,2
6,80,Yes,6,0
9,67,No,7,9
6,46,Yes,6,6
9,57,Yes,5,9
4,95,No,9,6
8,80,Yes,8,1
9,94,Yes,7,5
4,75,Yes,8,3
5,80,Yes,4,6
8,75,No,6,6
6,83,No,4,3
7,43,No,7,2
3,96,No,9,6
7,69,Yes,5,8
8,63,Yes,6,3
6,59,Yes,4,5
9,85,Yes,9,6
6,95,No,6,9
9,70,Yes,8,2
4,63,Yes,5,4
8,46,No,9,0
4,65,No,6,5
2,52,No,5,4
9,93,Yes,9,6
5,47,No,8,8
4,94,Yes,8,3
2,44,Yes,4,8
1,83,No,7,5
7,52,No,4,4
6,68,No,5,1
2,59,Yes,4,0
8,53,Yes,9,7
4,71,Yes,6,5
8,99,No,9,6
7,89,Yes,4,5
5,66,Yes,7,9
8,95,Yes,9,6
9,64,Yes,9,8
5,91,No,9,4
5,43,Yes,7,0
2,60,No,9,0
5,57,No,5,8
3,78,Yes,8,4
7,54,Yes,7,1
5,92,No,5,2
8,77,Yes,7,0
1,87,No,7,5
3,91,Yes,8,5
3,63,Yes,6,2
9,47,No,5,2
5,67,Yes,7,6
9,60,No,7,0
9,55,No,4,4
1,99,Yes,9,2
2,93,No,6,4
5,55,Yes,8,3
4,74,Yes,5,5
9,56,Yes,7,8
7,48,No,9,1
6,96,Yes,5,9
7,74,Yes,8,7
1,91,No,6,1
1,68,No,4,3
8,78,No,6,8
2,57,No,4,3
9,51,Yes,5,6
7,58,Yes,6,4
6,87,Yes,6,1
1,61,Yes,6,7
1,98,No,8,9
2,95,No,5,9
6,88,Yes,4,1
6,91,No,6,2
2,54,No,5,9
1,40,No,9,6
5,41,No,8,4
5,47,No,8,9
2,61,Yes,9,2
6,64,Yes,5,1
9,41,No,4,5
2,90,No,5,9
2,48,Yes,5,0
3,48,Yes,7,7
7,52,No,8,4
6,45,No,4,4
8,69,No,7,1
8,54,Yes,9,6
6,90,No,5,4
3,92,No,9,7
3,54,No,8,4
1,89,No,7,8
7,46,No,7,4
5,97,No,4,2
4,50,No,5,1
4,79,No,4,4
4,77,Yes,7,9
6,79,Yes,7,9
8,41,Yes,4,4
8,90,No,7,5
5,87,Yes,6,1
6,78,Yes,8,4
4,49,Yes,5,0
9,83,Yes,8,2
8,56,Yes,5,2
1,46,No,7,2
2,93,Yes,4,2
9,79,No,4,7
8,78,No,7,0
3,43,Yes,5,5
8,74,No,7,5
1,90,Yes,5,0
4,86,No,7,0
3,75,No,7,2
6,70,Yes,7,7
7,64,No,4,5
4,80,No,5,3
7,52,No,9,4
9,57,No,7,9
2,60,No,8,2
3,87,No,8,5
5,40,No,4,5
3,75,No,6,5
8,89,Yes,9,8
8,47,No,4,9
8,91,Yes,6,7
9,87,Yes,4,5
4,60,No,8,1
5,82,No,7,3
5,91,Yes,5,5
8,92,Yes,7,8
7,92,Yes,8,1
9,60,No,5,5
8,66,No,6,9
2,58,No,6,9
4,62,Yes,8,9
6,90,No,5,6
2,89,No,7,7
7,90,No,8,8
3,82,No,6,4
3,74,Yes,8,8
2,79,No,7,8
8,91,No,4,6
6,90,Yes,9,1
1,81,No,9,7
1,87,Yes,9,4
7,44,Yes,4,7
8,91,No,7,1
5,80,Yes,5,6
5,47,No,8,4
4,50,Yes,7,3
6,55,Yes,4,9
6,78,No,6,5
3,86,Yes,9,4
9,63,No,9,5
7,60,No,7,8
1,91,No,9,0
7,62,No,9,0
5,88,Yes,7,5
5,77,No,7,1
2,86,Yes,4,7
4,47,No,4,6
6,46,Yes,9,5
7,41,Yes,7,3
5,69,Yes,7,8
9,52,Yes,9,6
3,62,No,5,6
1,68,No,6,4
4,77,Yes,8,0
9,76,Yes,8,1
4,59,No,9,7
2,72,Yes,8,4
5,68,Yes,4,1
3,89,No,4,4
9,54,Yes,5,7
4,62,Yes,9,3
6,81,No,4,2
2,42,Yes,9,4
6,76,No,9,6
3,95,No,7,1
9,68,No,6,0
2,84,No,6,4
9,47,Yes,9,6
5,61,No,6,7
8,92,No,6,7
2,68,Yes,8,9
6,41,No,8,8
3,80,Yes,7,0
5,88,No,5,6
8,98,No,4,9
1,89,No,4,7
5,84,No,8,5
3,40,Yes,9,9
4,83,Yes,6,3
2,59,Yes,7,6
9,91,No,5,2
3,60,No,8,1
2,76,No,9,5
9,47,Yes,7,1
7,66,No,9,5
6,86,Yes,7,9
1,98,Yes,8,2
5,74,Yes,7,1
3,45,No,6,7
1,99,No,7,3
4,84,No,5,3
2,83,No,7,6
2,58,Yes,4,7
3,57,Yes,7,8
8,95,No,9,9
8,40,No,8,7
7,64,No,4,3
6,66,Yes,8,1
9,46,No,9,9
4,83,Yes,5,4
1,81,Yes,6,6
8,68,Yes,5,1
7,70,Yes,4,3
7,83,Yes,9,5
3,82,Yes,9,7
4,75,Yes,6,9
9,58,No,7,5
6,45,No,4,5
5,64,No,6,5
3,70,Yes,8,3
9,48,Yes,6,2
5,59,No,8,0
5,49,Yes,8,1
4,76,Yes,9,1
4,66,Yes,6,9
1,52,Yes,9,6
7,80,Yes,9,5
9,41,Yes,5,7
3,89,Yes,5,8
2,60,Yes,9,4
3,72,Yes,9,2
1,63,Yes,8,3
6,92,Yes,9,7
7,83,Yes,4,2
2,81,No,6,1
8,73,Yes,4,6
6,99,Yes,5,3
4,48,No,4,7
5,41,No,7,0
8,94,No,7,7
3,95,Yes,5,4
3,69,Yes,4,1
4,61,No,6,0
1,85,No,5,5
9,50,No,7,8
8,94,Yes,5,8
8,82,Yes,4,8
6,56,No,4,3
7,75,Yes,4,5
6,52,Yes,8,9
9,46,No,4,5
3,55,No,9,4
3,72,No,7,1
3,84,Yes,7,6
3,40,Yes,8,0
9,50,Yes,7,5
4,45,Yes,7,4
7,59,Yes,5,4
9,74,No,4,7
7,83,Yes,9,8
9,76,Yes,9,6
3,80,No,5,9
4,65,No,9,7
8,97,No,5,1
